sample_id	age	sex	cage	diet	name	title	number	strain	weight	age_bin	latitude	taxon_id	age_units	body_site	elevation	env_biome	longitude	phenotype	timepoint	host_taxid	life_stage	mice_group	antibiotics	description	env_feature	env_package	sample_type	weight_unit	body_habitat	body_product	env_material	geo_loc_name	qiita_empo_1	qiita_empo_2	qiita_empo_3	dna_extracted	immune_status	host_subject_id	scientific_name	stam_comparison	experiment_group	prepdescription_	mice_group_number	collection_timestamp	fig_7a_extended_data	fig_7l_extended_data	fig_7m_extended_data	fig_7n_extended_data	fig_7q_extended_data	host_scientific_name	fig_7k1_extended_data	fig_7k2_extended_data	physical_specimen_location	fig_7a_extended_data_groups	fig_7l_extended_data_groups	fig_7m_extended_data_groups	fig_7n_extended_data_groups	fig_7q_extended_data_groups	physical_specimen_remaining	fig_7k1_extended_data_groups	fig_7k2_extended_data_groups	qiita_study_id
10856.E47L.feces.20w.STAM.FVB.B.TGFbR.1.16	20	male	Cage 147	HFD	10856.E47L.feces.20w.STAM.FVB.B.TGFbR.1.16	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 361	FVB	29.1	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	FVB , T1d, NASH driven HCC, TGFbrko	5 months	10090	adult	Group42-STAM-FVB-B-TGFbR (5M)	No	STAM-FVB-B-TGFbR	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	B cell signaling	SS361	mouse gut metagenome	not applicable	G	Karin_Rapid_Response_Plate_4_33657_A12	42	12/14/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E22L.feces.26w.HFD.CD8kMup.5.17	26	male	Cage 87	HFD	10856.E22L.feces.26w.HFD.CD8kMup.5.17	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 187	C57Bl/6	39.5	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, CD8KO	6 months	10090	adult	Group17-CD8kMup-HFD (6M)	No	CD8kMup-HFD (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS187	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_3_33657_C1	17	5/5/16	TRUE	FALSE	FALSE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	not applicable	not applicable	MUP/CD8a-/-	not applicable	FALSE	HFD	HFD MUP/CD8a-/-	10856
10856.E47L.feces.26w.STAM.B6.WT.3.3	26	male	Cage 127	HFD	10856.E47L.feces.26w.STAM.B6.WT.3.3	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 302	C57Bl/6	25.2	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	T1d, NASH driven HCC	6 months	10090	adult	Group31-STAM-B6 (6M)	No	STAM-B6	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS302	mouse gut metagenome	TRUE	E	Karin_Rapid_Response_Plate_4_33657_F4	31	12/14/16	FALSE	FALSE	FALSE	FALSE	TRUE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	STAM-WT	FALSE	not applicable	not applicable	10856
10856.E23La.feces.47w.ctrl.HFD.MupHe.CD4he.1.1	47	male	Cage 24	HFD	10856.E23La.feces.47w.ctrl.HFD.MupHe.CD4he.1.1	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 39	C57Bl/6	50	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, HCC	11 months	10090	adult	Group 3-MupHe-HFD (10-11M)	No	MupHe-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS39	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_1_33657_G6	3	6/22/16	TRUE	TRUE	TRUE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	MUP	MUP	MUP	not applicable	FALSE	HFD	HFD MUP	10856
10856.E26L.feces.50w.HFD.IgAK.CLM.2.11	50	male	Cage 73	HFD	10856.E26L.feces.50w.HFD.IgAK.CLM.2.11	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 177	C57Bl/6	53	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	obese no IgA	11 months	10090	adult	Group15-IgAk-HFD (10-11M)	No	IgAk-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS177	mouse gut metagenome	not applicable	B	Karin_Rapid_Response_Plate_2_33657_A12	15	7/7/16	TRUE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	HFD	not applicable	not applicable	not applicable	not applicable	FALSE	HFD	not applicable	10856
10856.E24Lb.feces.50w.HFD.CD4HeMup.2.2	50	male	Cage 19	HFD	10856.E24Lb.feces.50w.HFD.CD4HeMup.2.2	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 42	C57Bl/6	55.5	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, HCC	11 months	10090	adult	Group 3-MupHe-HFD (10-11M)	No	MupHe-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS42	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_1_33657_B7	3	5/16/16	TRUE	TRUE	TRUE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	MUP	MUP	MUP	not applicable	FALSE	HFD	HFD MUP	10856
10856.E47L.feces.20w.STAM.FVB.IgAk.2.10	20	male	Cage 144	HFD	10856.E47L.feces.20w.STAM.FVB.IgAk.2.10	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 353	FVB	31.6	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	FVB, T1d, NASH driven HCC, no IgA	5 months	10090	adult	Group41-STAM-FVB-IgAk (5M)	No	STAM-FVB-IgAk	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS353	mouse gut metagenome	not applicable	G	Karin_Rapid_Response_Plate_4_33657_A11	41	12/14/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E32L.feces.30w.HFD.CD8kMup.4.6	30	male	Cage 90	HFD	10856.E32L.feces.30w.HFD.CD8kMup.4.6	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 193	C57Bl/6	30	3	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, CD8KO	6 months	10090	adult	Group17-CD8kMup-HFD (6M)	No	CD8kMup-HFD (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS193	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_3_33657_E2	17	8/10/16	TRUE	FALSE	FALSE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	not applicable	not applicable	MUP/CD8a-/-	not applicable	FALSE	HFD	HFD MUP/CD8a-/-	10856
10856.E23La.feces.51w.ctrl.NC.B6.3.19	51	male	Cage 43	NC	10856.E23La.feces.51w.ctrl.NC.B6.3.19	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 86	C57Bl/6	26	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	lean	6 months	10090	adult	Group 8-B6-NC (10-11M)	No	B6-NC (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS86	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_1_33657_F12	8	6/22/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	not applicable	10856
10856.E40L.feces.50w.HFD.B6.2.2	50	male	Cage 38	HFD	10856.E40L.feces.50w.HFD.B6.2.2	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 76	C57Bl/6	49.9	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	obese only	6 months	10090	adult	Group 7-B6-HFD (10-11M)	No	B6-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS76	mouse gut metagenome	not applicable	B	Karin_Rapid_Response_Plate_1_33657_D11	7	10/19/16	TRUE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	HFD	not applicable	not applicable	not applicable	not applicable	FALSE	HFD	not applicable	10856
10856.E45L.feces.21w.STAM.FVB.IgAk.4.12	21	male	Cage 143	HFD	10856.E45L.feces.21w.STAM.FVB.IgAk.4.12	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 351	FVB	34.6	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	FVB, T1d, NASH driven HCC, no IgA	5 months	10090	adult	Group41-STAM-FVB-IgAk (5M)	No	STAM-FVB-IgAk	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS351	mouse gut metagenome	not applicable	G	Karin_Rapid_Response_Plate_4_33657_G10	41	11/29/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E26L.feces.27w.NC.B6.CR.4.31	27	male	Cage 36	NC	10856.E26L.feces.27w.NC.B6.CR.4.31	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 71	C57Bl/6	30.1	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	lean	6 months	10090	adult	Group 6-B6-NC (6M)	No	B6-NC (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS71	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_1_33657_G10	6	7/7/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	not applicable	10856
10856.E41L.feces.20w.STAM.FVB.IgAk.2.9	20	male	Cage 142	HFD	10856.E41L.feces.20w.STAM.FVB.IgAk.2.9	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 346	FVB	39.1	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	FVB, T1d, NASH driven HCC, no IgA	5 months	10090	adult	Group41-STAM-FVB-IgAk (5M)	No	STAM-FVB-IgAk	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS346	mouse gut metagenome	not applicable	G	Karin_Rapid_Response_Plate_4_33657_B10	41	11/16/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.B6.PIGRHe.Feces.16w.NC.4.21	16	male	Cage 162	NC	10856.B6.PIGRHe.Feces.16w.NC.4.21	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 419	C57Bl/6	26.4	1	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	PigRK	2-4 months	10090	adult	Group57-NC-B6-PIGRK (2-4M)	No	NC-B6-PIGRK	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no PIGR	SS419	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_5_33657_G7	56	12/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E27L.feces.27w.NC.CD8kCLM.1.26	27	male	Cage 92	NC	10856.E27L.feces.27w.NC.CD8kCLM.1.26	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 197	C57Bl/6	27.6	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, CD8KO	6 months	10090	adult	Group18-CD8kMup-NC (6M)	No	CD8kMup-NC (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS197	mouse gut metagenome	not applicable	C	Karin_Rapid_Response_Plate_3_33657_A3	18	6/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	TRUE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	NC MUP/CD8a-/-	10856
10856.E27L.feces.27w.NC.CD8kCLM.1.27	27	male	Cage 92	NC	10856.E27L.feces.27w.NC.CD8kCLM.1.27	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 242	C57Bl/6	27	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	CD8KO	6 months	10090	adult	Group22-CD8k-NC (6M)	No	CD8k-NC (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS242	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_3_33657_F8	22	6/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	not applicable	10856
10856.E27L.feces.27w.NC.CD8kCLM.1.24	27	male	Cage 92	NC	10856.E27L.feces.27w.NC.CD8kCLM.1.24	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 195	C57Bl/6	30.4	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, CD8KO	6 months	10090	adult	Group18-CD8kMup-NC (6M)	No	CD8kMup-NC (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS195	mouse gut metagenome	not applicable	C	Karin_Rapid_Response_Plate_3_33657_G2	18	6/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	TRUE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	NC MUP/CD8a-/-	10856
10856.E27L.feces.27w.NC.CD8kCLM.1.25	27	male	Cage 92	NC	10856.E27L.feces.27w.NC.CD8kCLM.1.25	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 196	C57Bl/6	29.8	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, CD8KO	6 months	10090	adult	Group18-CD8kMup-NC (6M)	No	CD8kMup-NC (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS196	mouse gut metagenome	not applicable	C	Karin_Rapid_Response_Plate_3_33657_H2	18	6/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	TRUE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	NC MUP/CD8a-/-	10856
10856.E4L.feces.ctrl.MupHe.5	39	male	Cage 8	HFD	10856.E4L.feces.ctrl.MupHe.5	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 20	C57Bl/6	51	3	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, HCC	11 months	10090	adult	Group 3-MupHe-HFD (10-11M)	No	MupHe-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS20	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_1_33657_D4	3	10/22/15	TRUE	TRUE	TRUE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	MUP	MUP	MUP	not applicable	FALSE	HFD	HFD MUP	10856
10856.E27L.feces.27w.NC.CD8kCLM.1.28	27	male	Cage 92	NC	10856.E27L.feces.27w.NC.CD8kCLM.1.28	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 243	C57Bl/6	29.1	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	CD8KO	6 months	10090	adult	Group22-CD8k-NC (6M)	No	CD8k-NC (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS243	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_3_33657_G8	22	6/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	not applicable	10856
10856.E23La.feces.51w.ctrl.NC.B6.1.17	51	male	Cage 43	NC	10856.E23La.feces.51w.ctrl.NC.B6.1.17	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 84	C57Bl/6	32.6	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	lean	6 months	10090	adult	Group 8-B6-NC (10-11M)	No	B6-NC (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS84	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_1_33657_D12	8	6/22/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	not applicable	10856
10856.E47L.feces.20w.STAM.FVB.B.TGFbR.6.21	20	male	Cage 148	HFD	10856.E47L.feces.20w.STAM.FVB.B.TGFbR.6.21	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 366	FVB	42.7	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	FVB , T1d, NASH driven HCC, TGFbrko	5 months	10090	adult	Group42-STAM-FVB-B-TGFbR (5M)	No	STAM-FVB-B-TGFbR	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	B cell signaling	SS366	mouse gut metagenome	not applicable	G	Karin_Rapid_Response_Plate_4_33657_F12	42	12/14/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E49L.feces.25w.STAM.B6.Ighel.MD4.2.16	25	male	Cage 132	HFD	10856.E49L.feces.25w.STAM.B6.Ighel.MD4.2.16	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 315	C57Bl/6	23.8	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	T1d, NASH driven HCC, mon B 	6 months	10090	adult	Group35-STAM-B6-Ighel/MD4 (6M)	No	STAM-B6-Ighel/MD4	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	monoclonal B	SS315	mouse gut metagenome	FALSE	E	Karin_Rapid_Response_Plate_4_33657_C6	35	12/21/16	FALSE	FALSE	FALSE	FALSE	TRUE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	STAM-IgHEL	FALSE	not applicable	not applicable	10856
10856.E45L.feces.21w.STAM.FVB.IgAk.2.10	21	male	Cage 143	HFD	10856.E45L.feces.21w.STAM.FVB.IgAk.2.10	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 349	FVB	31.3	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	FVB, T1d, NASH driven HCC, no IgA	5 months	10090	adult	Group41-STAM-FVB-IgAk (5M)	No	STAM-FVB-IgAk	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS349	mouse gut metagenome	not applicable	G	Karin_Rapid_Response_Plate_4_33657_E10	41	11/29/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E32L.feces.30w.HFD.CD8kMup.2.4	30	male	Cage 89	HFD	10856.E32L.feces.30w.HFD.CD8kMup.2.4	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 191	C57Bl/6	30	3	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, CD8KO	6 months	10090	adult	Group17-CD8kMup-HFD (6M)	No	CD8kMup-HFD (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS191	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_3_33657_G1	17	8/10/16	TRUE	FALSE	FALSE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	not applicable	not applicable	MUP/CD8a-/-	not applicable	FALSE	HFD	HFD MUP/CD8a-/-	10856
10856.E24L.feces.49w.HFD.IgAkMup.2.7	49	male	Cage 65	HFD	10856.E24L.feces.49w.HFD.IgAkMup.2.7	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 126	C57Bl/6	38.9	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, HCC, no IgA	11 months	10090	adult	Group11-IgAkMup-HFD (10-11M)	No	IgAkMup-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS126	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_2_33657_F5	11	5/16/16	TRUE	TRUE	TRUE	FALSE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	MUP/IgA-/-	MUP/IgA-/-	not applicable	not applicable	FALSE	HFD	HFD MUP/IgA-/-	10856
10856.B6.IgAK.Feces.8w.NC.1.10	8	male	Cage 135	NC	10856.B6.IgAK.Feces.8w.NC.1.10	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 323	C57Bl/6	30	1	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	no IgA	2 months	10090	adult	Group37-NC-B6-IgAk (2M)	No	NC-B6-IgAk	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS323	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_4_33657_C7	37	12/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	not applicable	10856
10856.E37Lb.feces.50w.HFD.CD8kCLM.3.21	50	male	Cage 105	HFD	10856.E37Lb.feces.50w.HFD.CD8kCLM.3.21	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 256	C57Bl/6	58.6	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	obese, CD8KO	11 months	10090	adult	Group23-CD8k-HFD (10-11M)	No	CD8k-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS256	mouse gut metagenome	not applicable	B	Karin_Rapid_Response_Plate_3_33657_D10	23	9/20/16	TRUE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	HFD	not applicable	not applicable	not applicable	not applicable	FALSE	HFD	not applicable	10856
10856.FVB.B.TGFbR.Feces.11w.NC.5.42	11	male	Cage 153	NC	10856.FVB.B.TGFbR.Feces.11w.NC.5.42	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 386	FVB	30	1	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	TGFbrko	2-3 months	10090	adult	Group46-NC-FVB-B-TGFbR (2-3M)	No	NC-FVB-B-TGFbR	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	B cell signaling	SS386	mouse gut metagenome	not applicable	F	Karin_Rapid_Response_Plate_5_33657_F3	46	12/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E12L.feces.36w.HFD.CD4HeMup.19	36	male	Cage 15	HFD	10856.E12L.feces.36w.HFD.CD4HeMup.19	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 34	C57Bl/6	50.9	3	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, HCC	11 months	10090	adult	Group 3-MupHe-HFD (10-11M)	No	MupHe-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS34	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_1_33657_B6	3	11/23/15	TRUE	TRUE	TRUE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	MUP	MUP	MUP	not applicable	FALSE	HFD	HFD MUP	10856
